license_number|company_flag|dba|address1|city|state|zip|county|phone|licensee_type_cd|expiration_date|number_type
WV000422|IMPAQ INC|IMPAQ INC|352 MATLICK LN PO BOX 256|MOATSVILLE|WV|264059731|01|304-457-5622| B F H |8/5/2015|License Number
WV000423|ELLSWORTH ELECTRIC INC|ELLSWORTH ELECTRIC INC|88 WEST LEE STREET|HAGERSTOWN|MD|21740|0|301-739-8800|A I 999 |8/31/2015|License Number
WV000427|J P PHILLIPS INC|J P PHILLIPS INC|601 TECHNOLOGY DRIVE #150|CANONSBURG|PA|15317|0|724-746-2424| I 027 086 |8/2/2015|License Number
WV000431|PENN ELECTRIC COMPANY INC|PENN ELECTRIC COMPANY INC|5208 MACCORKLE AVE SE|CHARLESTON|WV|25304|20|304-925-1959|A B D E G H I 999 007 010 004 002 |8/5/2015|License Number
WV000437|JAY YOHO|WOODWORKS & MORE|3819 FRANKLIN ST|BELLAIRE|OH|439061140|0|614-676-6902| B E H I 999 007 009 010 069 |8/5/2015|License Number
WV000440|R & H DALTON CONST & MASONRY|R & H DALTON CONST & MASONRY|13 SAND BANK ROAD|MORGANTOWN|WV|26508|31|304-292-1376| B E G H I 999 |8/5/2015|License Number
WV000442|MENDON PIPELINE INC|MENDON PIPELINE INC|PO BOX 429|MENDON|NY|145060429|0|716-624-5880| B C |8/6/2015|License Number
WV000444|BETTY REYNOLDS|REYNOLDS PLUMBING & HEATING|647 KANAWHA STATE FOREST DR|CHARLESTON|WV|253149734|20|304-744-6108| G |8/5/2015|License Number
WV000447|G W HEATING & COOLING INC|G W HEATING & COOLING INC|238 BOGGS FORK ADDITION|SPENCER|WV|25276|44|304-927-1254|A D G H I 027 086 |8/11/2015|License Number
WV000448|CHAPMAN CORPORATION|CHAPMAN CORPORATION|331 S MAIN ST|WASHINGTON|PA|153016367|0|412-228-1900|A B C D F G |8/5/2015|License Number
WV000450|AVALOTIS CORPORATION|AVALOTIS CORPORATION|PO BOX 6|VERONA|PA|151470006|0|412-828-9666| I 999 |10/14/2015|License Number
WV000451|MASSARO INDUSTRIES INC|MASSARO INDUSTRIES INC|91 PENNSYLVANIA AVE|OAKMONT|PA|151391920|0|412-828-1680| I 086 027 |8/5/2015|License Number
WV000455|JOSEPH J MAURO INC|AIRTITE COMPANY|640 RODI RD|PITTSBURGH|PA|152354524|0|412-731-2122| I 999 018 |8/5/2015|License Number
WV000458|PAYNE WELL DRILLING INC|PAYNE WELL DRILLING INC|PO BOX 160|STEPHENSON|VA|226560160|0|540-662-4957| I 999 |8/5/2015|License Number
WV000463|SUTTER ROOFING & METAL COMPANY INC|SUTTER ROOFING & METAL COMPANY INC|PO BOX 2036|CLARKSBURG|WV|263022036|17|304-624-6565| I 999 010 |8/5/2015|License Number
WV000465|JIMMIE HARPER CONSTRUCTION INC|JHC TRUCKING AND RENTALS|PO BOX  5367|VIENNA|WV|26105|54|304-295-9257|A B C D E F G H I 999 |9/5/2015|License Number
WV000469|MOUNTAIN STATE LOG HOMES INC|MOUNTAIN STATE LOG HOMES INC|PO BOX 679|JANE LEW|WV|26378|21|304-884-6641| B D E G H I 999 |8/5/2015|License Number
WV000470|ALAN STONE COMPANY INC|ALAN STONE COMPANY INC|PO BOX 186|WILLIAMSTOWN|WV|26187|54|304-375-6484| C |8/6/2015|License Number
WV000472|STEPHENS EXCAVATING INC|STEPHENS EXCAVATING INC|11010 BECKLEY RD|HAGERSTOWN|MD|21740|0|301-582-2024| I 002 |8/6/2015|License Number
WV000475|TRIMBLE ENGINEERS & CONSTRUCTORS IN|TRIMBLE ENGINEERS & CONSTRUCTORS IN|2991 POINT MARION RD|MORGANTOWN|WV|265052944|20|304-292-9573| B C |8/6/2015|License Number
WV000476|WHITE-SPUNNER CONSTRUCTION INC|WHITE-SPUNNER CONSTRUCTION INC|PO BOX 7986|MOBILE|AL|366700986|0|205-471-5189| B |11/9/2015|License Number
WV000477|WEEKES CONSTRUCTION INC|WEEKES CONSTRUCTION INC|PO BOX 17977|GREENVILLE|SC|29606|0|864-233-0061| B |8/6/2015|License Number
WV000480|PRELOAD INC|PRELOAD INC|49 WIRELESS BLVD STE 200|HAUPPAUGE|NY|11788|0|631-231-8100| I 999 |8/6/2015|License Number
WV000481|PI TUDOR ROOFING CO INC|PI TUDOR ROOFING CO INC|PO BOX 2871|HUNTINGTON|WV|25728|06|304-525-5461| E I 999 009 010 |8/5/2015|License Number
WV000482|D & L WELD INC|D & L WELD INC|301 WILSON ST|MARTINSBURG|WV|254013021|02|304-263-1149| B E H I 999 |8/6/2015|License Number
WV000487|WILSON BLACKTOP CORP|WILSON BLACKTOP CORP|PO BOX 128|COLERAIN|OH|439160128|0|740-633-5202| I 999 006 |8/6/2015|License Number
WV000490|ROGER A POWERS|POWERS CONSTRUCTION & CONTRACTING|79 STARLING ESTATES|MORGANTOWN|WV|26508|31|304-291-0773|A B D E G H I 999 004 007 010 009 |8/6/2015|License Number
WV000492|THE JAMES WHITE CONSTRUCTION COMPAN|THE JAMES WHITE CONSTRUCTION COMPAN|4156 FREEDOM WAY|WEIRTON|WV|260625210|05|304-748-8181| C I 999 006 002 |8/6/2015|License Number
WV000495|GARY MILLER CONSTRUCTION INC|GARY MILLER CONSTRUCTION INC|113 HOLLIE DRIVE|TRIADELPHIA|WV|260599631|35|304-547-5727|A B C D G H |11/28/2015|License Number
WV000496|W O GRUBB STEEL ERECTION INC|W O GRUBB STEEL ERECTION INC|5120 JEFFERSON DAVIS HWY|RICHMOND|VA|232342276|0|804-271-9471| I 999 |8/6/2015|License Number
WV000497|TRUMBO ELECTRIC INC|TRUMBO ELECTRIC INC|PO BOX 38|BROADWAY|VA|228150038|0|540-896-7095|A |8/6/2015|License Number
WV000499|JEFFERSON ASPHALT PRODUCTS COMPANY|JEFFERSON ASPHALT PRODUCTS COMPANY|175 JOHN J THOMAS WAY|CHARLES TOWN|WV|254140131|19|304-725-2539| I 016 006 002 |8/6/2015|License Number
WV000501|SOPHIA PLUMBING COMPANY|SOPHIA PLUMBING COMPANY|PO BOX 1152|SOPHIA|WV|259211152|41|304-683-3640| D F G |8/6/2015|License Number
WV000502|GLEN GOLDEN|GOLD STAR SERVICES|90 SANDY LANE|BERKELEY SPRINGS|WV|25411|33|304-258-4785|A B C D E F G H I 999 004 007 |8/6/2015|License Number
WV000506|CHARLES SOWERS|CHARLES T SOWERS BUILDERS|68 WYCLIFF DR|MARTINSBURG|WV|25403|02|304-263-2656|A B D E G H |8/6/2015|License Number
WV000507|D A CARPENTRY INC|D A CARPENTRY INC|PO BOX 473|HARPERS FERRY|WV|254250473|19|304-535-2778| H |8/6/2015|License Number
WV000508|MARK SMOOT|MARK SMOOT PAINTING|2724 EMMONS AVENUE|HUNTINGTON|WV|257021130|06|304-522-0635| H I 001 015 |8/6/2015|License Number
WV000509|DAVID HUBBARD|HUBBARD EXCAVATION|PO BOX 245|WELLSBURG|WV|260700245|05|304-737-0363|A C G H I 999 007 010 009 001 |8/6/2015|License Number
WV000510|ECHO VALLEY INC|ECHO VALLEY INC|1501 PATTEM TRAIL|FAIRMONT|WV|26554|25|304-288-7412|A B C D E F G H I 999 |8/6/2015|License Number
WV000512|TRIAN
