licensee_type_cd|number_type|license_number|entity_name|last update|county|address1|city|state|zip|expiration_date|phone|fax
Licensed Lead Contractors|License Number|252|Rock Island Integrated Services|4/10/2014|Rock Island|Bldg. #102 Rock Island Arsenal|Rock Island|IL|61299||(309)-782-2377|(309)-782-2396
Licensed Lead Contractors|License Number|357|Rockford Contractors Inc.|4/15/2014|Winnebago|NA|Rockford|IL|61107||NA|NA
Licensed Lead Contractors|License Number|485|RON CHRISMAN INC.|6/13/2014|MACOUPIN|NA|BUNKER HILL|IL|62014||NA|NA
Licensed Lead Contractors|License Number|465|Ronbo's Fine Painting Inc.|5/7/2013|DuPage|P.O. Box 1217|Oak Park|IL|60304||(708) 848-0214|
Licensed Lead Contractors|License Number|524|SAFE ENVIRONMENTAL CORPORATION|4/7/2014|OUT OF STATE|10030 EXPRESS DRIVE SUITE A&B|HIGHLAND|IN|46322||(219) 922-0844|(217) 922-0850
Licensed Lead Contractors|License Number|270|Sanchez Environmental Inc.|4/16/2014|Cook|1919 N. Kedzie Ave.|Chicago|IL|60647||(773)-227-3998|
Licensed Lead Contractors|License Number|177|Scheffel Builders Inc.|4/10/2014|Madison|5667 Old Alton-Edwardsville Rd.|Edwardsville|IL|62025||(618)-656-1818|(618)-656-7245
Licensed Lead Contractors|License Number|315|Schemel-Tarrillion Inc.|4/24/2014|OUT OF STATE|3966 Perry Country Road 806|Perryville|MO|63775||(573)-547-2558|(573)-547-1303
Licensed Lead Contractors|License Number|136|Shawn Brown Enterprises Inc.|4/15/2014|Cook|1401 E. Seventy-Nineth St.|Chicago|IL|60619||(773)-221-7221|(773)-221-7272
Licensed Lead Contractors|License Number|193|SHERMAN CONSTRUCTION|4/15/2014|MACOUPIN|510 FULTON STREET|GILLESPIE|IL|62033||(217)-839-2404|(217)-839-2404
Licensed Lead Contractors|License Number|542|Simply Environmental|7/9/2014|Cook|16326 Park|Markham|IL|60428||(708) 913-8039|
Licensed Lead Contractors|License Number|183|Spray Services Inc.|4/16/2014|OUT OF STATE|20 Chamber Dr.|Washington|MO|63090||(636)-239-0404|(636)-239-1139
Licensed Lead Contractors|License Number|550|SPS Enviro|5/19/2014|Cook|3128 S 61st. Avenue|Cicero|IL|60804||(708) 656-0208|
Licensed Lead Contractors|License Number|215|SQ Carpentry Inc.|5/27/2014|Saline|207 E. Church St P.O. Box 291|Harrisburg|IL|62946||(618)-252-8025|(618)-252-4442
Licensed Lead Contractors|License Number|151|SRS Construction Inc.|4/16/2014|Winnebago|104 Countryside Dr.|Rockton|IL|61072||(815) 742-6820|(815) 624-4010
Licensed Lead Contractors|License Number|513|STENE'S CONTRACTORS|5/28/2014|STEPHENSON|585 NORTH HENDERSON ROAD|FREEPORT|IL|61032||(815) 235-1771|
Licensed Lead Contractors|License Number|560|Swift & Swift LLC|3/4/2014||1903 Walling Ct.|Davenport|IA|52803||(563) 505-0661|
Licensed Lead Contractors|License Number|478|TALBERT INDUSTRIAL COMMERCIAL SERVICES INC.|4/7/2014|OUT OF STATE|P.O BOX 287|ST. LOUIS|MO|63006||(314) 681-5317|(314) 770-9244
Licensed Lead Contractors|License Number|287|Taylor Made Carpentry|5/12/2014|Boone|9790 Coon Trail Rd.|Capron|IL|61012||(815)-737-8877|(815)-737-8877
Licensed Lead Contractors|License Number|29|Tecnica Environmental Services Inc.|4/23/2014|Cook|16W066 JEANS ROAD|LEMONT|IL|60439||(312)-243-0077|(312)-243-0046
Licensed Lead Contractors|License Number|25|The Luse Companies|4/7/2014|Du Page|3990 Enterprise Ct.|Aurora|IL|60504||(630)-862-2600|(630)-862-2673
Licensed Lead Contractors|License Number|70|Thornburgh Abatement Inc.|4/15/2014|Out of State|6280 Knox Industrial Dr.|St. Louis|MO|63139||(314)-644-5323|(314)-644-5320
Licensed Lead Contractors|License Number|330|Tropical Environmental Inc.|4/7/2014|Mc Henry|1350 Chase Street|Algonquin|IL|60102||(847) 658-2900|
Licensed Lead Contractors|License Number|156|Turner-Bailey Inc.|4/24/2014|Madison|411 Broadway Ave.|S. Roxana|IL|62087||(618)-251-9510|(618)-251-9512
Licensed Lead Contractors|License Number|436|U.S. Environmental Solutions LLC|3/25/2014|Out of State|23 Town and Country Drive|Washington|MO|63090||(636) 390-0683|(636) 390-0685
Licensed Lead Contractors|License Number|31|United Thermal Industries Inc.|5/19/2014|Williamson|NA|Marion|IL|62959||NA|NA
Licensed Lead Contractors|License Number|5|UNIVERSAL ASBESTOS REMOVAL INC.|5/19/2014|DUPAGE|1385 101ST. STREET. STE. D|LEMONT|IL|60439||(630)-972-1030|(630)-972-1065
Licensed Lead Contractors|License Number|516|UNIVERSITY OF ILLINOIS FACILITIES & SERVICES|5/9/2013|CHAMPAIGN|NA|CHAMPAIGN|IL|61820||NA|NA
Licensed Lead Contractors|License Number|135|Valor Technologies Inc.|4/7/2014|Will|3 Northpoint Ct.|Bolingbrook|IL|60440||(630)-679-9800|(630)-679-9809
Licensed Lead Contractors|License Number|410|Value Remodeling Inc.|5/27/2014|Lake|1580 Minthaven Rd.|Lake Forest|IL|60045||(708) 296-5105|(847) 615-1985
Licensed Lead Contractors|License Number|175|Vance Improvements Corp.|5/15/2014|St. Clair|5919 Saxtown Road|Millstadt|IL|62260||(618)-781-6965|(618)-286-4013
Licensed Lead Contractors|License Number|548|VISION PAINTING & DECORATING SERVICES INC|4/29/2014|COOK|NA|CHICAGO|IL|60628||NA|NA
Licensed Lead Contractors|License Number|100|Wellington Environmental Consulting & Construction Inc.|4/16/2014||607 Hanley Industrial Ct.|St. Louis|MO|63144||(314)-644-4930|(314)-644-6744
Licensed Lead Contractors|License Number|537|Wilmette Environmental LLC|4/22/2014|Cook|NA|Wilmette|IL|60091||NA|NA
Licensed Lead Contractors|License Number|483|WILVAR ENTERPRISES INC.|5/8/2013|LEE|NA|DIXON|IL|61021||NA|NA
