company_name|license_number|licensee_type_cd|licensee_type_cd|expiration_date|address1/city/state/zip|phone_number_type|phone|qualifying_individual|license_type2
STRONG BACKS & ARTISTIC HANDS|LIC-0006268|08|General Contractor|Class|B|09/12/2015|3070 18TH ST BOULDER, CO 80304|303-554-0651|Paul Baumann
SUGARLOAF BUILDING CO INC|LIC-0001017|08|General Contractor|Class|B|06/18/2015|4500 NEVA RD LONGMONT, CO 80503|303-444-1782|Richard Jorgensen
SUN CONSTRUCTION & DESIGN SERV,|LIC-0001670|08|General Contractor|Class|B|04/22/2016|INC|303-444-4780|Stephen Strong|28|Right-of-Way|04/22/2016
TANDEM ENTERPRISES, INC|LIC-0008954|08|General Contractor|Class|B|06/09/2015|9800 PYRAMID CT STE 400 ENGLEWOOD, CO 80112|303-858-0599|Scott Gratrix
THD AT-HOME SERVICES INC|LIC-0008617|08|General Contractor|Class|B|01/30/2016|CUMBERLAND OFFICE PARK ATLANTA, GA 30339-3913|Marc Brogan
THE MAGNOLIA BUILDING COMPANY|LIC-0009502|08|General Contractor|Class|B|06/11/2015|6801 MAGNOLIA DR NEDERLAND, CO 80466|303-818-6226|Brian McMahon|28|Right-of-Way|10/13/2015
THE VERTEX COMPANIES, INC|LIC-0010446|08|General Contractor|Class|B|11/15/2015|3734 OSAGE ST DENVER, CO 80211|303-632-9116|William McConnell|28|Right-of-Way|01/24/2015
TIMBERWOLFF CONSTRUCTION, INC|LIC-0007948|08|General Contractor|Class|B|04/28/2015|1659 W ARROW RTE UPLAND, CA 91786|909-949-0380|Michael Wolff
TLM CONSTRUCTION SERVICES LLC|LIC-0007354|08|General Contractor|Class|B|07/25/2015|4875 VALKYRIE DR BOULDER, CO 80301|303-819-8326|Terry McClain
TOWER ONE CONSTRUCTION CO|LIC-0003074|08|General Contractor|Class|B|01/06/2016|1285 WEST BYERS PL DENVER, CO 80223|303-951-9350|Joe Ekstrom
TREELINE HOMES INC|LIC-0005226|08|General Contractor|Class|B|11/30/2015|1727 15TH ST STE 100 BOULDER, CO 80302|303-449-2371|303-717-5309|Derek Guarascio
TRES BIRDS WORKSHOP, INC|LIC-0006715|08|General Contractor|Class|B|10/07/2015|3821 STEELE ST DENVER, CO 80205|303-324-3622|Mike Moore|28|Right-of-Way|10/15/2015
TUFF SHED, INC|LIC-0001747|08|General Contractor|Class|B|08/04/2015|1777 S HARRISON ST STE 600 DENVER, CO 80210|303-474-5519|303-753-8833|Tom Saurey
VAN COURT BROTHERS CONST INC|LIC-0002476|08|General Contractor|Class|B|09/26/2015|5510 PIONEER RD BOULDER, CO 80301|720-304-3998|James Van Court
VAN MATRE CONSTRUCTION LLC|LIC-0006263|08|General Contractor|Class|B|06/19/2015|104 E SIMPSON ST LAFAYETTE, CO 80026|303-915-5376|Braden Van Matre|28|Right-of-Way|09/05/2015
VERMILION CONSTRUCTION|LIC-0008029|08|General Contractor|Class|B|07/09/2015|1906 CREEKSIDE DR LONGMONT, CO 80504|303-678-5226|Tobin Osteen
VICTORY CONST & REFRIGERATION|LIC-0008312|08|General Contractor|Class|B|04/01/2015|INC|720-328-9562|Jim Elmore
VON'S 7 LLC|LIC-0001344|08|General Contractor|Class|B|07/22/2015|3445 PENROSE PLACE BOULDER, CO 80301|303-444-8310|Robert Von Eschen|28|Right-of-Way|03/14/2012
WEINS CONSTRUCTION, INC.|LIC-0006536|08|General Contractor|Class|B|12/13/2015|8671 W. 92ND PL. WESTMINSTER, CO 80021|Robb Weins|28|Right-of-Way|12/27/2011
WESTEC CONSTRUCTION MGMT CO|LIC-0003399|08|General Contractor|Class|B|04/19/2016|11409 BUSINESS PARK CIR #300 LONGMONT,|303-682-5483|303-684-9900|Brian Artzer|CO|28|Right-of-Way|04/19/2016
WESTERN MAINTENANCE & CONST|LIC-0007634|08|General Contractor|Class|B|11/05/2015|2911 S UMATILLA ST ENGLEWOOD, CO 80110|303-744-9000|Rick Langely
WESTERN TELCOM INC|LIC-0007639|08|General Contractor|Class|B|08/13/2015|50 S HAVANA ST STE 520 AURORA, CO 80012|720-858-1115|Bill Kallergis
WHITE CONSTRUCTION GROUP|LIC-0007326|08|General Contractor|Class|B|05/24/2015|PO BOX 97 CASTLE ROCK, CO 80104|303-688-6924|Douglas Decker
WILDERNESS CONSTRUCTION|LIC-0006946|08|General Contractor|Class|B|12/03/2015|COMPANY INC|303-286-9200|Roland Ochs
WILDWOOD JOINERY & DESIGN, INC|LIC-0001162|08|General Contractor|Class|B|08/19/2015|9635 SCHLAGEL ST LONGMONT, CO 80503|303-684-6604|W Michael Shuster|28|Right-of-Way|08/16/2012
WILLIAMS CONSTRUCTION CORP|LIC-0002638|08|General Contractor|Class|B|04/11/2016|2701 W MANSFIELD AVE ENGLEWOOD, CO 80110|303-989-9009|303-989-9009|Wendall Williams
WINDOWS AMERICA|LIC-0007638|08|General Contractor|Class|B|06/24/2015|455 W 115TH AVE #5 NORTHGLENN, CO 80234|303-920-0175|Clyde Lundeen
4949 COLORADO BLVD DENVER, CO 80216|08|General Contractor|Class|B|03/20/2016|24hr Phone|James Perry|303-756-2160
5280 CONTRACTING, LTD|LIC-0010531|09|General Contractor|Class|C|02/25/2016|1181 S HURON ST DENVER, CO 80223|Jon Ingalls
641 WEST DESIGN|LIC-0008724|09|General Contractor|Class|C|11/24/2015|810 COLLEGE AVE BOULDER, CO 80302|303-665-0603|Olga De Lange
A+ RESULTS|LIC-0008767|09|General Contractor|Class|C|04/02/2015|14859 XENIA ST THORNTON, CO 80602|303-809-3716|Jerry Faulkenburg
ADAI CONSTRUCTION, LLC|LIC-0009011|09|General Contractor|Class|C|03/25/2016|1735 GILLASPIE BOULDER, CO 80305|303-579-0424|Dezso Adai
ALL RIGHT REMODELING LLC|LIC-0010807|09|General Contractor|Class|C|02/03/2016|6475 CLAY ST DENVER, CO 80221|303-429-9534|Tom Russo
ALPINE BUILDER INC|LIC-0004398|09|General Contractor|Class|C|10/28/2015|2512 BEGONIA CT LOVELAND, CO 80537|970-776-9253|Thomas Chianeese
AMERICAN EXTERIORS LLC|LIC-0004422|09|General Contractor|Class|C|12/19/2015|1169 W LITTLETON BLVD LITTLETON, CO 80120-2201|303-984-9422|Jacob Cliff
ARTISAN CARPENTRY & TILE INC|LIC-0009535|09|General Contractor|Class|C|08/15/2015|3712 STAGHORN DR LONGMONT, CO 80503|303-485-2829|Daniel Shetter
ARTISAN DESIGN AND BUILD INC|LIC-0010585|09|General Contractor|Class|C|04/18/2015|216 GRIFFITH ST LOUISVILLE, CO 80027|720-252-0727|Nicholas Falbo
A-SHED USA|LIC-0010610|09|General Contractor|Class|C|05/19/2015|6541 WASHINGTON ST UNIT R DENVER, CO 80229|303-289-8620|Sean Sant
AUTUMN FINE BUILDING LLC|LIC-0010674|09|General Contractor|Class|C|08/11/2015|1140 EMERSON ST DENVER, CO 80218|Andrew Jennings
A-Z KITCHEN & BATH CENTER, INC|LIC-0001556|09|General Contractor|Class|C|02/24/2016|3233 WALNUT ST BOULDER, CO 80301|303-589-2380|303-440-9227|Theodore Thomas
BAILEY CUSTOM HOMES|LIC-0010482|09|General Contractor|Class|C|01/27/2016|1028 DELTA DR LAFAYETTE, CO 80026|303-332-3885|Shane Bailey
BARLOW PRESERVATION SERVICES|LIC-0010647|09|General Contractor|Class|C|06/26/2015|LLC|303-746-1602|Phillip Barlow
BASEMENT SPECIALISTS, LLC|LIC-0007964|09|General Contractor|Class|C|05/28/2015|3375 PARKSIDE CENTER DR BROOMFIELD, CO 80023|303-467-9201|George Zyznieuski
BATCO HOMES INC|LIC-0003661|09|General Contractor|Class|C|11/02/2015|7279 ARAPAHOE RD BOULDER, CO 80303|303-442-8668|Bruce Tenenbaum
BECK BUILDING COMPANY INC|LIC-0008929|09|General Contractor|Class|C|02/02/2016|PO BOX 4030 VAIL, CO 81658-4030|970-949-1800|Andrew Beck|28|Right-of-Way|08/09/2011
BEEHIVE CONSTRUCTION CO INC|LIC-0002350|09|General Contractor|Class|C|04/15/2015|1256 HOVER RD LONGMONT, CO 80501|303-447-8866|Raymond Kutash
BELLA VITA CUSTOM PROPERTIES|LIC-0010668|09|General Contractor|Class|C|08/01/2015|LLC|719-499-2122|SCOTT BARTON
BENCHMARK CONSTRUCTION INC|LIC-0006538|09|General Contractor|Class|C|08/19/2015|8375 W 120TH AVE BROOMFIELD, CO 80020|Todd Schultz
BERGERBUILT CONSTRUCTION|LIC-0010288|09|General Contractor|Class|C|06/20/2015|2035 ALPINE DR BOULDER, CO 80304|303-562-6887|Keith Berger
BERNO CONSTRUCTION|LIC-0010597|09|General Contractor|Class|C|05/08/2015|845 E 73RD AVE DENVER, CO 80229|720-446-7184|Tomas Bernik
BERTHOUD DEVELOPMENT LLC|LIC-0008650|09|General Contractor|Class|C|10/08/2015|1524 HOLLYBERRY ST BERTHOUD, CO 80513|970-532-3153|LIC-0007597|Keith Biggs|09|General Contractor|Class|C|06/23/2015
BLACK TIMBER BUILDERS|LIC-0010338|09|General Contractor|Class|C|02/09/2016|1526 7TH ST BOULDER, CO 80302|720-454-2991|Kyle Meyer
BLUE STONE WOODWORKS LLC|LIC-0001610|09|General Contractor|Class|C|03/22/2016|637B S BROADWAY #205 BOULDER, CO 80305|303-494-1785|Kathleen Zimmerman
BONDAROVICH CONSTRUCTION|LIC-0010779|09|General Contractor|Class|C|12/29/2015|720 PEARL STREET STE 3A BOULDER, CO|Jim Bondarovich
BOOKER BUILT, LLC|LIC-0008563|09|General Contractor|Class|C|09/25/2015|3630 21ST ST BOULDER, CO 80304|720-565-5921|Stewart Booker
BOULDER HOME BUILDERS LLC|LIC-0010241|09|General Contractor|Class|C|05/30/2015|PO BOX 1944 LYONS, CO 80540|Dave Wickum
BOULDER VALLEY BUILDERS|LIC-0009671|09|General Contractor|Class|C|09/26/2015|5578 PENNSYLVANIA AVE BOULDER, CO 80303|David Garner
BOUSKA DEVELOPMENT COMPANY|LIC-0009147|09|General Contractor|Class|C|11/13/2015|2525 ARAPAHOE AVE STE E-4 #208 BOULDER, CO|720-288-9834|William Bishop
BRAD JOHNSON CONSTRUCTION LLC|LIC-0009008|09|General Contractor|Class|C|02/23/2016|PO BOX 233 LAFAYETTE, CO 80026|720-938-0285|Bradley Johnson
BRADY CONSTRUCTION|LIC-0010640|09|General Contractor|Class|C|06/16/2015|5945 S MILWAUKEE WAY CENTENNIAL, CO 80121|303-437-8263|John Brady
BRAY CONSTRUCTION INC|LIC-0008594|09|General Contractor|Class|C|05/12/2015|623 MEAD CT LOUISVILLE, CO 80027|303-666-7462|Stuart Bray
BROADSTREAM DEVELOPMENT LLC|LIC-0010735|09|General Contractor|Class|C|10/24/2015|PO BOX 11608 DENVER, CO 80211|720-256-3495|Russell Lombard
BROCKETT BUILDERS, LLC|LIC-0008000|09|General Contractor|Class|C|03/19/2016|3816 CLOVERLEAF DR BOULDER, CO 80304|303.484.1232|John Brockett
BROOKS DESIGN BUILD CORP|LIC-0006002|09|General Contractor|Class|C|04/10/2015|6908 CHARITY CT FREDERICK, CO 80530|303-997-7716|Jonathan Brooks
BRUCE LEAHY CONSTRUCTION|LIC-0009967|09|General Contractor|Class|C|09/03/2015|3906 NIBLICK CT LONGMONT, CO 80503|303-638-0563|Bruce Leahy
BUCHANAN CONSTRUCTION SYSTEMS|LIC-0006805|09|General Contractor|Class|C|01/09/2016|2915 COLBY DRIVE BOULDER, CO 80305|Patrick Buchanan
CADAMAGNANI CONSTRUCTION CO|LIC-0006823|09|General Contractor|Class|C|08/12/2015|71 WOLFTONGUE RD NEDERLAND, CO 80466|303-258-7502|Fred Cadamagnani
CANYON CONSULTANT LLC|LIC-0009646|09|General Contractor|Class|C|02/06/2016|9032 BALSAM CT WESTMINSTER, CO 80021|303-522-7266|Joshua Gilcreest
CHAMPION WINDOW OF FT COLLINS|LIC-0004195|09|General Contractor|Class|C|03/25/2016|5850 BYRD DR LOVELAND, CO 80538|970 290 4515|Jeff Woodward
CHANIN DEVELOPMENT INC|LIC-0002095|09|General Contractor|Class|C|07/31/2015|817 QUINCE AVE BOULDER, CO 80304|303-939-8400|James Chanin
CHARLIE WEISEL / DBA|LIC-0010823|09|General Contractor|Class|C|02/27/2016|DEDICATED CRAFTSMAN BOULDER, CO 80308|720-652-0357|Charlie Weisel
CHINOOK CONSTRUCTION|LIC-0002599|09|General Contractor|Class|C|03/02/2016|99 ARROYO CHICO BOULDER, CO 80302|303-444-0004|Robert Kimbrough
CHRIS KELLEY CONTRACTING|LIC-0008483|09|General Contractor|Class|C|12/14/2015|205 32ND ST BOULDER, CO 80305|303-819-1655|Chris Kelley|28|Right-of-Way|02/19/2015
CJ ROOFING COMPANY INC|LIC-0001726|09|General Contractor|Class|C|09/18/2015|4020 BRIGHTON BLVD DENVER, CO 80216|303-394-2802|Bruce Lundy
COLORADO CUSTOM DECKS INC|LIC-0003605|09|General Contractor|Class|C|06/18/2015|3255 AUSTIN BLUFFS PKWY COLORADO SPRINGS, CO|303-926-9292|Garth Hystade
COLORADO LIVING|LIC-0010621|09|General Contractor|Class|C|05/27/2015|3375 FILLMORE RIDGE HEIGHTS COLORADO|719-445-1010|Jonathan Babicky
COLORADO STRUCTURAL REPAIR LLC|LIC-0010413|09|General Contractor|Class|C|01/08/2016|2039 S GILPIN ST DENVER, CO 80201|720-441-3611|Byron Johnson
CORNERSTONE CONTRACTING LLC|LIC-0008092|09|General Contractor|Class|C|12/18/2015|1005 S 120TH ST UNIT 101 LAFAYETTE, CO 80026|Keenan Tompkins
COWBELL CONSTRUCTION|LIC-0010058|09|General Contractor|Class|C|09/30/2015|200 BOULDER ST BOULDER, CO 80302|Matthew Legg
CPWEST DESIGN AND CONSTRUCTION|LIC-0004296|09|General Contractor|Class|C|07/17/2015|600 PEARL ST., #A BOULDER, CO 80302|303-478-4704|303-245-8615|Carlo Persichetti
CRAFTWOOD DESIGN BUILDERS LLC|LIC-0010470|09|General Contractor|Class|C|12/16/2015|1147 ATWOOD ST LONGMONT, CO 80501|303-746-4879|Jeremy Lillie
CRAWLSPACES 2 BASEMENTS|LIC-0009319|09|General Contractor|Class|C|11/19/2015|1562 S PARKER RD STE 260 DENVER, CO 80231|303-598-9988|Ted Tapparo|28|Right-of-Way|08/19/2014
CROWN CONSTRUCTION INC|LIC-0006025|09|General Contractor|Class|C|02/12/2016|800 ARGOS CIR LAFAYETTE, CO 80026|303-604-6366|Steve Hefling
CUSTOM DESIGN WOODWORKING|LIC-0007703|09|General Contractor|Class|C|05/15/2015|1285 GEORGETOWN RD BOULDER, CO 80305|303.931.3903|Steve Damboise
DAVIDSON CONST OF BOULDER, LLC|LIC-0006753|09|General Contractor|Class|C|04/30/2015|2553 COWLEY DR LAFAYETTE, CO 80026|303.604.1499|Eric Davidson
DECKTEC OUTDOOR DESIGN INC|LIC-0003135|09|General Contractor|Class|C|10/29/2015|16000 W 5TH AVE GOLDEN, CO 80401|303-277-1550|Steve Sparhawk
DEFREES DESIGN & DEVELOPMENT|LIC-0006146|09|General Contractor|Class|C|09/16/2015|525 KALMIA AVE BOULDER, CO 80304|303-807-8505|Stephen Defrees
DELTA DISASTER SERVICES|LIC-0010680|09|General Contractor|Class|C|08/19/2015|5535 W 56TH AVE #104 ARVADA, CO 80002|303-264-4344|303-933-4888|Michael Mastous
DENCO PROPERTIES LLC|LIC-0009941|09|General Contractor|Class|C|06/18/2015|PO BOX 20952 BOULDER, CO 80308|720-201-7171|Peter Stofko
DENVER DECKS CONSTRUCTION|LIC-0007149|09|General Contractor|Class|C|04/24/2016|12650 W 64TH AVE UNIT E424 ARVADA, CO 80004|303-730-9642|Phillip Tussing
DESIGN MASTER CONSTRUCTION LLC|LIC-0010170|09|General Contractor|Class|C|07/15/2015|1922 AMETHYST DR LONGMONT, CO 80504|303-482-8565|Terry Trotter
DESIGNS BY JACEK|LIC-0009383|09|General Contractor|Class|C|01/26/2016|210 FAIRPLAY AVE BROOMFIELD, CO 80020|720.328.2337|Jacek Dzoga
DONOHOE BUILDERS, LLC|LIC-0006378|09|General Contractor|Class|C|08/29/2015|PO BOX 1508 LYONS, CO 80540|303-823-9664|Michael Donohoe
DOVETAIL CONSTRUCTION|LIC-0009257|09|General Contractor|Class|C|11/07/2015|2630 THORNBIRD PLACE BOULDER, CO 80304|303-449-2395|William Cook
DRS ENGINEERING CONTRACTORS|LIC-0009340|09|General Contractor|Class|C|01/02/2016|8955 S RIDGELINE BLVD STE 700 HIGHLANDS RANCH,|303-523-7890|303-306-9200|Michael Kerker
DUN-RITE HOME IMPROVEMENTS INC|LIC-0010088|09|General Contractor|Class|C|10/24/2015|2010 DARTMOUTH AVE ENGLEWOOD, CO 80110|303-722-2295|Todd Cechini|27|Plumbing|10/31/2015
E GOODMAN CONSTRUCTION|LIC-0003696|09|General Contractor|Class|C|05/28/2015|566 DAKOTA BLVD BOULDER, CO 80304|303-882-9131|Edmund Goodman
EARTHRISE HOMES|LIC-0001604|09|General Contractor|Class|C|04/21/2015|PO BOX 17841 BOULDER, CO 80308|303-618-7700|Dale Johns
EGRESS, INC - DISCHNER CONST SVCS|LIC-0007505|09|General Contractor|Class|C|08/30/2015|2963 W 91ST PL DENVER, CO 80260|303-438-6888|James Dischner
ELKSTONE, INC|LIC-0010221|09|General Contractor|Class|C|07/22/2015|17174 KNOLLSIDE AVE PARKER, CO 80134|303-656-9006|Joe Benedetto
ELLIS CONSTRUCTION INC|LIC-0006432|09|General Contractor|Class|C|05/07/2015|1037 DIAMOND CT BOULDER, CO 80303|303-818-0241|David Ellis
ELLSWORTH BUILDERS, INC|LIC-0006401|09|General Contractor|Class|C|10/30/2015|2200 JUNIPER CT BOULDER, CO 80304|303-449-0325|Jeffrey Ellsworth
ELTON R CONSTRUCTION, LLC|LIC-0008772|09|General Contractor|Class|C|07/25/2015|1740 38TH ST BOULDER, CO 80301|303-455-9778|303-875-5378|Elton Randall|28|Right-of-Way|05/14/2015
ENTELECHY, LLC|LIC-0009930|09|General Contractor|Class|C|07/28/2015|PO BOX 19173 BOULDER, CO 80308|Blake Heren
ESSEX DEVELOPMENTS LLC|LIC-0007611|09|General Contractor|Class|C|08/22/2015|1652 POPLAR BOULDER, CO 80304|303-449-7652|Doug Ryder
EVERYDAY HOME REPAIRS LLC|LIC-0010704|09|General Contractor|Class|C|09/24/2015|992 S 4TH ST 100/123 BRIGHTON, CO 80601|Mollie Velasquez
EXECUTIVE STRUCTURAL|LIC-0008677|09|General Contractor|Class|C|06/13/2015|5310 XENON ST ARVADA, CO 80002|303-467-3212|James Jones
FALCON RENOVATIONS INC|LIC-0004368|09|General Contractor|Class|C|03/11/2016|2985 W 10TH AVENUE CIR BROOMFIELD, CO 80020|303-596-8757|303-596-8757|Donald Grantham
FELLER HOMES INC|LIC-0010851|09|General Contractor|Class|C|03/25/2016|512 5TH ST STE 200 BERTHOUD, CO 80513|970-532-3153|Steve Feller
FINISHED BASEMENT COMPANY|LIC-0005143|09|General Contractor|Class|C|03/02/2016|1205 S PLATTE RIVER DR DENVER, CO 80223|303-936-2553|Patrick Condon
FIRST GENERAL SVCS OF DENVER|LIC-0009844|09|General Contractor|Class|C|04/12/2015|LLC|303-752-1317|Troy Bergman
FIXATION LLC|LIC-0007627|09|General Contractor|Class|C|02/24/2016|PO BOX 551 GOLDEN, CO 80402|303-435-0055|Brian Johnson
FLAHERTY CONSTRUCTION|LIC-0010277|09|General Contractor|Class|C|06/25/2015|51 E 84TH AVE STE 204 THORNTON, CO 80260|303-681-6910|Kelly Flaherty
FLATIRONS HOME IMPROVEMENT|LIC-0010822|09|General Contractor|Class|C|02/24/2016|612 EMERY ST LONGMONT, CO 80501|720-345-7902|Matt Gorsuch
FRANK LICATA CARPENTRY|LIC-0002550|09|General Contractor|Class|C|01/12/2016|706 GLENWOOD DR LAFAYETTE, CO 80026|303-666-9143|303-666-9143|Frank Licata
FRUTH CONSTRUCTION, INC|LIC-0006504|09|General Contractor|Class|C|07/11/2015|534 DONN CT BOULDER, CO 80303|303-499-0244|John Fruth
FUENTES|DESIGN|LIC-0010329|09|General Contractor|Class|C|07/29/2015|DBA ONE TO ONE BOULDER, CO 80302|303-523-4654|Steven Rouisse
FULLER HOUSE CONSTRUCTION LLC|LIC-0008084|09|General Contractor|Class|C|05/25/2015|207 S CLEVELAND AVE LOUISVILLE, CO 80027|720-940-9084|Christopher Fuller
GENESIS MASTER BUILDERS INC|LIC-0010672|09|General Contractor|Class|C|08/07/2015|PO BOX 3597 BOULDER, CO 80307|303-859-2676|David Rogers
GENRE HOMES|LIC-0010687|09|General Contractor|Class|C|08/29/2015|PO BOX 100001 DENVER, CO 80250|303-903-3614|Brian Dotson
GJ GARDNER HOMES OF ADAMS|LIC-0010815|09|General Contractor|Class|C|02/11/2016|COUNTY|303-658-0146|William Anner
GRAFF RENOVATIONS|LIC-0010245|09|General Contractor|Class|C|05/03/2015|7619 ABERDEEN WAY BOULDER, CO 80301|303-885-4297|Jonathan Graff
GRANT PLACE BUILDERS INC|LIC-0003879|09|General Contractor|Class|C|04/27/2015|PO BOX 3577 BOULDER, CO 80307|303-440-8362|303-579-4610|George Russell
GREEN BRANCH BUILDERS INC|LIC-0008276|09|General Contractor|Class|C|02/05/2016|193 W CEDAR WAY LOUISVILLE, CO 80027|303-210-1977|Chris Hall
GREENLINE DEVELOPMENT LLC|LIC-0006978|09|General Contractor|Class|C|10/31/2015|1852 RELIANCE CIR SUPERIOR, CO 80027|303-440-0505|Thomas Henderson
HABILIS DESIGNBUILD|LIC-0010173|09|General Contractor|Class|C|03/04/2016|3161 3RD ST BOULDER, CO 80304|303-330-3227|Jacques Juilland|28|Right-of-Way|03/04/2016
HAL SCHAFER CUSTOM|LIC-0009534|09|General Contractor|Class|C|06/26/2015|WOODWORKING INC|303-907-3026|Hal Schafer
HAMMERWELL, INC|LIC-0003332|09|General Contractor|Class|C|09/12/2015|1350 PINE STREET STE 3 BOULDER, CO 80302|303-402-9626|303-443-3430|Richard Sands
HANDYMAN EXTRAORDINAIRE LLC|LIC-0009506|09|General Contractor|Class|C|05/04/2015|980 CRESCENT DR BOULDER, CO 80303|720-287-3162|Robert Matthias
HAWTHORN CONSTRUCTION, LLC|LIC-0009972|09|General Contractor|Class|C|07/10/2015|4512 SOUTH MEADOW DR BOULDER, CO 80301|720-612-0625|Kurt Eisenhard
H-B DEVELOPMENT|LIC-0010313|09|General Contractor|Class|C|07/28/2015|PO BOX 728 NIWOT, CO 80544|303-772-4200|Toby Bramble
HEARTWOOD BUILDERS, INC|LIC-0010635|09|General Contractor|Class|C|06/12/2015|11311 JASPER RD LAFAYETTE, CO 80026|Eldon Shaffer
HENSON CONSTRUCTION INC|LIC-0001936|09|General Contractor|Class|C|10/17/2015|7316 ERIN CT NIWOT, CO 80503|303-774-8286|303-875-0099|Robert Henson
HIGHER GROUND CONSTRUCTION INC|LIC-0010836|09|General Contractor|Class|C|03/10/2016|1228 JEFFERSON AVE LOUISVILLE, CO 80027|303-810-8854|Craig Malley
HIGHLAND REMODELING|LIC-0010545|09|General Contractor|Class|C|03/11/2016|6318 MODENA LN LONGMONT, CO 80503|303-530-4150|Gregory Coffin
HOFFMAN WEBER CONSTRUCTION INC|LIC-0009539|09|General Contractor|Class|C|04/23/2015|3515 48TH AVE N MINNEAPOLIS, MN 55429|763-571-1133 x39|866-970-1133|Joe Hoffman
HOM SOLUTIONS INC|LIC-0008690|09|General Contractor|Class|C|04/06/2015|11220 E 53RD AVE STE 100 DENVER, CO 80239|303-288-8898|James Ambrose
HOME & ENERGY SERVICES, INC|LIC-0004232|09|General Contractor|Class|C|03/08/2016|641 S JASON ST DENVER, CO 80223|303-715-0777|Thomas Thompson Jr
HUGHES CONSTRUCTION CO|LIC-0002452|09|General Contractor|Class|C|11/18/2015|3016 6TH ST BOULDER, CO 80304|303-817-3216|Robert Hughes
IDIAM ARCHITECTURE INC|LIC-0009524|09|General Contractor|Class|C|10/15/2015|1609 SUGARLOAF RD BOULDER, CO 80302|303-442-3986|Miles Lahue
INTEGRITY DESIGN BUILD LLC|LIC-0010653|09|General Contractor|Class|C|07/09/2015|PO BOX 3645 BOULDER, CO 80307|720-336-8926|Jonathan Hill
J & J CONTRACTORS, LLC|LIC-0008371|09|General Contractor|Class|C|08/09/2015|6026 S BANNOCK ST LITTLETON, CO 80120|303.520.8131|Jeffrey Yerks
J DAVIS BUILDERS LLC|LIC-0008404|09|General Contractor|Class|C|05/13/2015|10600 FOURMILE CANYON DR BOULDER, CO 80302|Jeff Davis
JA LONG CONSTRUCTION CO|LIC-0007408|09|General Contractor|Class|C|01/23/2016|2761 LEE HILL RD BOULDER, CO 80302|303-442-0768|Jerry Long|28|Right-of-Way|08/07/2015
JAE CONSTRUCTION LLC|LIC-0009381|09|General Contractor|Class|C|01/24/2016|2900 LORRAINE CT BOULDER, CO 80304|303-918-1540|Casey Dane
JEFF BECKER CONSTRUCTION INC|LIC-0002016|09|General Contractor|Class|C|01/26/2016|PO BOX 242 LYONS, CO 80540|303-823-6936|Jeffrey Becker
JEFF LYNCH CONSTRUCTION LLC|LIC-0003708|09|General Contractor|Class|C|09/25/2015|639 ARROYO CHICO BOULDER, CO 80302|303-818-4398|Jeff Lynch
JENNISON & JENNISON INC|LIC-0002404|09|General Contractor|Class|C|12/19/2015|9908 W COUNTY RD 18E LOVELAND, CO 80537|970-669-2335|303-678-9765|Mark Jennison
JF DAVIS CONSTRUCTION LLC|LIC-0009961|09|General Contractor|Class|C|05/19/2015|14550 E EASTER AVE STE 900 CENTENNIAL, CO 80112|720-457-3780|Joe Davis
JOHNEN, DEAN|LIC-0009647|09|General Contractor|Class|C|02/23/2016|616 TUNNEL 19 RD GOLDEN, CO 80403|303-525-1342|Dean Johnen
JOHNSON & SONS CONSTRUCTION|LIC-0010601|09|General Contractor|Class|C|05/08/2015|LLC|303-688-2040|James Johnson
JON CONNOR CONSTRUCTION INC|LIC-0010216|09|General Contractor|Class|C|07/16/2015|PO BOX 1843 LYONS, CO 80540|303-823-8628|Jon Connor
JONES CARPENTRY INC|LIC-0010853|09|General Contractor|Class|C|03/30/2016|10080 VRAIN CT WESTMISNTER, CO 80031|720-201-4699|David Jones
JOSHUA WHITE HOMES LLC|LIC-0007521|09|General Contractor|Class|C|10/22/2015|7170 CHRISTOPHER CT NIWOT, CO 80503|303-818-2424|Joshua White
K&D LANDSCAPE INC|LIC-0010633|09|General Contractor|Class|C|09/24/2015|4320 KIPLING ST WHEAT RIDGE, CO 80033|303-425-8963|Brandon Knight|14|General Contractor|Class|D-4|Land,|Irrig,|Sitework|06/10/2015|28|Right-of-Way|06/10/2015
KC NICK CONSTRUCTION, INC|LIC-0008475|09|General Contractor|Class|C|02/24/2016|9456 WEBSTER WAY BROOMFIELD, CO 80021|303-332-8682|KEITH NICK
K-DESIGNERS|LIC-0009958|09|General Contractor|Class|C|07/01/2015|5825 W 6TH AVE LAKEWOOD, CO 80214|303-231-0044|Todd Nordrum
KDT CONSTRUCTION LTD|LIC-0006861|09|General Contractor|Class|C|09/16/2015|1755 LINDEN AVE BOULDER, CO 80304|303-413-1318|Kent Taylor
KELLER CUSTOM BUILDING|LIC-0010060|09|General Contractor|Class|C|10/03/2015|2980 HEATHER ROAD GOLDEN, CO 80401|Eric Keller
KENNEDY BUILDING, INC|LIC-0002726|09|General Contractor|Class|C|10/10/2015|PO BOX 18896 BOULDER, CO 80308|303-678-1702|303-589-9271|Jonathan Kennedy
KENNETH WILLIAMS|LIC-0006527|09|General Contractor|Class|C|12/17/2015|360 NORTON ST BOULDER, CO 80305|Kenneth Williams
KG ENTERPRISES LLC|LIC-0009854|09|General Contractor|Class|C|04/20/2015|PO BOX 951 LYONS, CO 80540|303-823-0527|Kim Goranson
